x1	x2	y
0.125	4	51.5
0.125	4	37.4
0.125	4	59.3
0.125	4	58.5
0.125	8	5.2
0.125	8	6.4
0.125	8	9
0.125	8	6.3
0.125	12	2.5
0.125	12	3.3
0.125	12	2.6
0.125	12	1.9
0.1875	4	225.3
0.1875	4	233.9
0.1875	4	211.2
0.1875	4	212.8
0.1875	8	47
0.1875	8	79.2
0.1875	8	88.7
0.1875	8	70.2
0.1875	12	18.4
0.1875	12	22.4
0.1875	12	18.9
0.1875	12	16.6
0.25	4	358.8
0.25	4	309.6
0.25	4	343.5
0.25	4	357.8
0.25	8	127.1
0.25	8	158
0.25	8	194
0.25	8	133
0.25	12	68.9
0.25	12	40.5
0.25	12	50.3
0.25	12	65.6
