x1	x2	y
20	3000	300.2
20	3000	310.8
20	3000	333
20	6000	99.6
20	6000	136.2
20	6000	142.4
20	10000	20.2
20	10000	28.2
20	10000	102.7
60	3000	67.3
60	3000	77.9
60	3000	93.9
60	6000	43
60	6000	44.5
60	6000	65.9
60	10000	10.7
60	10000	34.1
60	10000	39.1
100	3000	26.5
100	3000	22.3
100	3000	34.8
100	6000	32.8
100	6000	25.6
100	6000	32.7
100	10000	2.3
100	10000	4.4
100	10000	5.8
