A	B	C	D	E	F	G	H	y1	y2
-1	-1	-1	-1	-1	-1	-1	-1	6	13
1	-1	-1	-1	-1	-1	1	1	10	26
-1	1	-1	-1	-1	-1	-1	1	10	12
1	1	-1	-1	-1	-1	1	-1	8.5	14
-1	-1	1	-1	-1	1	-1	1	1.5	18.75
1	-1	1	-1	-1	1	1	-1	0.25	16.25
-1	1	1	-1	-1	1	-1	-1	1.75	25.75
1	1	1	-1	-1	1	1	1	4.25	18.5
-1	-1	-1	1	-1	1	1	1	6.5	6.5
1	-1	-1	1	-1	1	-1	-1	0.75	0
-1	1	-1	1	-1	1	1	-1	3.5	1
1	1	-1	1	-1	1	-1	1	3.25	6.5
-1	-1	1	1	-1	-1	1	-1	6	7.25
1	-1	1	1	-1	-1	-1	1	9.5	11.25
-1	1	1	1	-1	-1	1	1	6.25	10
1	1	1	1	-1	-1	-1	-1	6.75	12.5
-1	-1	-1	-1	1	-1	-1	-1	20	29.25
1	-1	-1	-1	1	-1	1	1	16.5	31.25
-1	1	-1	-1	1	-1	-1	1	17.25	28.75
1	1	-1	-1	1	-1	1	-1	19.5	41.25
-1	-1	1	-1	1	1	-1	1	9.67	21.33
1	-1	1	-1	1	1	1	-1	2	10.75
-1	1	1	-1	1	1	-1	-1	5.67	28.67
1	1	1	-1	1	1	1	1	3.75	35.75
-1	-1	-1	1	1	1	1	1	6	22.7
1	-1	-1	1	1	1	-1	-1	7.3	25.7
-1	1	-1	1	1	1	1	-1	8.7	30
1	1	-1	1	1	1	-1	1	9	29.7
-1	-1	1	1	1	-1	1	-1	19.3	32.7
1	-1	1	1	1	-1	-1	1	26.7	25.7
-1	1	1	1	1	-1	1	1	17.7	45.3
1	1	1	1	1	-1	-1	-1	10.3	37
